[2026-04-22 20:37:33] Res: EXITOSO | Vel: 1.28 | Fuel: 52.0%
[2026-04-22 20:38:06] Res: EXITOSO | Vel: 0.89 | Fuel: 50.5%
[2026-04-22 20:38:18] Res: CHOQUE | Vel: 4.04 | Fuel: 100.0%
[2026-04-22 20:38:30] Res: CRASH | Vel: 15.03 | Fuel: 25.5%
[2026-04-22 20:38:40] Res: CRASH | Vel: 9.63 | Fuel: 79.5%
[2026-04-22 20:38:47] Res: CHOQUE | Vel: 3.12 | Fuel: 54.0%
[2026-04-28 23:44:03] Nivel: 6 | Res: CÁPSULA DESTRUIDA | Vel: 3.07 | Fuel: 30.0%
[2026-04-28 23:44:06] Nivel: 6 | Res: CRASH / FUERA DE RUTA | Vel: 6.63 | Fuel: 10.0%
[2026-04-28 23:44:09] Nivel: 6 | Res: CÁPSULA DESTRUIDA | Vel: 3.39 | Fuel: 37.0%
[2026-04-28 23:44:13] Nivel: 6 | Res: CRASH / FUERA DE RUTA | Vel: 9.02 | Fuel: 7.0%
[2026-04-28 23:44:15] Nivel: 6 | Res: CÁPSULA DESTRUIDA | Vel: 4.30 | Fuel: 12.5%
[2026-04-28 23:44:22] Nivel: 6 | Res: CÁPSULA DESTRUIDA | Vel: 4.00 | Fuel: 50.0%
[2026-04-28 23:44:25] Nivel: 6 | Res: CÁPSULA DESTRUIDA | Vel: 3.54 | Fuel: 14.0%
[2026-04-28 23:44:30] Nivel: 6 | Res: CRASH / FUERA DE RUTA | Vel: 6.18 | Fuel: 50.0%
[2026-04-28 23:44:32] Nivel: 6 | Res: CRASH / FUERA DE RUTA | Vel: 7.69 | Fuel: 12.0%
[2026-04-28 23:44:37] Nivel: 6 | Res: ATERRIZAJE PERFECTO | Vel: 2.36 | Fuel: 39.5%
[2026-04-28 23:44:42] Nivel: 7 | Res: CÁPSULA DESTRUIDA | Vel: 6.35 | Fuel: 40.0%
[2026-04-28 23:44:46] Nivel: 7 | Res: CRASH / FUERA DE RUTA | Vel: 3.35 | Fuel: 19.0%
[2026-04-28 23:44:48] Nivel: 7 | Res: CRASH / FUERA DE RUTA | Vel: 6.00 | Fuel: 22.5%
[2026-04-28 23:44:52] Nivel: 7 | Res: CÁPSULA DESTRUIDA | Vel: 4.45 | Fuel: 26.0%
[2026-04-28 23:44:54] Nivel: 7 | Res: CRASH / FUERA DE RUTA | Vel: 4.35 | Fuel: 19.5%
[2026-04-28 23:44:57] Nivel: 7 | Res: ATERRIZAJE PERFECTO | Vel: 1.90 | Fuel: 23.0%
[2026-04-28 23:45:01] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 8.36 | Fuel: 19.5%
[2026-04-28 23:45:03] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 6.64 | Fuel: 12.0%
[2026-04-28 23:45:05] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 0.34 | Fuel: 19.0%
[2026-04-28 23:45:10] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 4.93 | Fuel: 27.5%
[2026-04-28 23:45:12] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 8.69 | Fuel: 11.5%
[2026-04-28 23:45:14] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 10.18 | Fuel: 2.5%
[2026-04-28 23:45:17] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 9.84 | Fuel: 16.5%
[2026-04-28 23:45:21] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 4.39 | Fuel: 40.0%
[2026-04-28 23:45:30] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 4.33 | Fuel: 33.0%
[2026-04-28 23:45:36] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 6.72 | Fuel: 40.0%
[2026-04-28 23:45:41] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 2.93 | Fuel: 21.5%
[2026-04-28 23:45:45] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 6.87 | Fuel: 40.0%
[2026-04-28 23:45:49] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 5.79 | Fuel: 40.0%
[2026-04-28 23:45:55] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 4.08 | Fuel: 40.0%
[2026-04-28 23:45:59] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 5.17 | Fuel: 40.0%
[2026-04-28 23:46:02] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 2.79 | Fuel: 33.0%
[2026-04-28 23:46:14] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 4.24 | Fuel: 40.0%
[2026-04-28 23:46:22] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 3.47 | Fuel: 38.0%
[2026-04-28 23:46:27] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 4.35 | Fuel: 25.0%
[2026-04-28 23:46:37] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 12.71 | Fuel: 0.0%
[2026-04-28 23:46:41] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 11.35 | Fuel: 15.0%
[2026-04-28 23:46:49] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 4.70 | Fuel: 40.0%
[2026-04-28 23:46:53] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 2.69 | Fuel: 40.0%
[2026-04-28 23:47:08] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 5.64 | Fuel: 40.0%
[2026-04-28 23:47:10] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 6.84 | Fuel: 7.5%
[2026-04-28 23:47:15] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 6.57 | Fuel: 40.0%
[2026-04-28 23:47:20] Nivel: 8 | Res: CRASH / FUERA DE RUTA | Vel: 1.19 | Fuel: 20.0%
[2026-04-28 23:47:23] Nivel: 8 | Res: CÁPSULA DESTRUIDA | Vel: 2.50 | Fuel: 38.5%
[2026-04-28 23:47:43] Nivel: 8 | Res: ATERRIZAJE PERFECTO | Vel: 2.39 | Fuel: 34.0%
[2026-04-28 23:47:47] Nivel: 9 | Res: CRASH / FUERA DE RUTA | Vel: 7.58 | Fuel: 7.0%
[2026-04-28 23:47:58] Nivel: 9 | Res: CRASH / FUERA DE RUTA | Vel: 10.40 | Fuel: 40.0%
